name	defined	refCount	sampleRef
OR_VERIFIER_KEY	C:\Dev\Projects\JotFolio\source\src\lib\ai\openrouter.js:3	2	C:\Dev\Projects\JotFolio\source\src\lib\appHooks.js:3
startOpenRouterLogin	C:\Dev\Projects\JotFolio\source\src\lib\ai\openrouter.js:11	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:6
exchangeOpenRouterCode	C:\Dev\Projects\JotFolio\source\src\lib\ai\openrouter.js:17	2	C:\Dev\Projects\JotFolio\source\src\lib\appHooks.js:3
AI_PROVIDERS	C:\Dev\Projects\JotFolio\source\src\lib\ai\providers.js:3	4	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:5
getAIConfig	C:\Dev\Projects\JotFolio\source\src\lib\ai\providers.js:12	4	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:5
setAIConfig	C:\Dev\Projects\JotFolio\source\src\lib\ai\providers.js:13	4	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:5
hasAIKey	C:\Dev\Projects\JotFolio\source\src\lib\ai\providers.js:14	0
aiComplete	C:\Dev\Projects\JotFolio\source\src\lib\ai\providers.js:18	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:5
BASE_FILE_VERSION	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:48	0
BASE_FILE_EXT	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:49	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:22
BASE_DIR	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:50	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:22
FILTER_OPS	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:52	2	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:3
VIEW_TYPES	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:53	2	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:3
DEFAULT_COLUMNS	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:57	4	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:3
createEmptyBase	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:67	5	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseExplorer.jsx:3
makeBaseId	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:94	0
basePath	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:109	9	C:\Dev\Projects\JotFolio\source\src\App.jsx:22
normalizeBase	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:121	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:22
serializeBase	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:161	3	C:\Dev\Projects\JotFolio\source\src\App.jsx:22
evalFilter	C:\Dev\Projects\JotFolio\source\src\lib\base\queryBase.js:44	0
evalSort	C:\Dev\Projects\JotFolio\source\src\lib\base\queryBase.js:101	0
applyBase	C:\Dev\Projects\JotFolio\source\src\lib\base\queryBase.js:134	2	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:2
getPropertyKeys	C:\Dev\Projects\JotFolio\source\src\lib\base\queryBase.js:154	4	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:2
addNode	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:22	4	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:3
removeNode	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:53	2	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:4
moveNode	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:72	5	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:5
resizeNode	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:85	0
updateNode	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:99	2	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:6
addEdge	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:118	2	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:7
removeEdge	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:134	1	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:8
updateEdge	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:148	3	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:9
CANVAS_FILE_VERSION	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:34	0
CANVAS_FILE_EXT	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:35	5	C:\Dev\Projects\JotFolio\source\src\App.jsx:23
CANVAS_DIR	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:36	5	C:\Dev\Projects\JotFolio\source\src\App.jsx:23
NODE_TYPES	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:38	0
KNOWN_NODE_TYPES	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:39	0
makeCanvasId	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:67	0
createEmptyCanvas	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:83	9	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasExplorer.jsx:3
canvasPath	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:100	8	C:\Dev\Projects\JotFolio\source\src\App.jsx:23
normalizeCanvas	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:163	11	C:\Dev\Projects\JotFolio\source\src\App.jsx:23
serializeCanvas	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:202	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:23
nextNodeId	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:236	2	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:9
nextEdgeId	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasTypes.js:246	2	C:\Dev\Projects\JotFolio\source\src\lib\canvas\canvasOps.js:9
createCommandRegistry	C:\Dev\Projects\JotFolio\source\src\lib\command\commandRegistry.js:19	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:19
rankCommands	C:\Dev\Projects\JotFolio\source\src\lib\command\commandRegistry.js:89	3	C:\Dev\Projects\JotFolio\source\src\features\commandPalette\CommandPalette.jsx:2
compileDeterministic	C:\Dev\Projects\JotFolio\source\src\lib\compile\compilers\deterministicStub.js:157	4	C:\Dev\Projects\JotFolio\source\src\lib\compile\compile.js:5
compile	C:\Dev\Projects\JotFolio\source\src\lib\compile\compile.js:115	57	C:\Dev\Projects\JotFolio\source\src\App.jsx:61
hashSourceEntry	C:\Dev\Projects\JotFolio\source\src\lib\compile\hash.js:51	12	C:\Dev\Projects\JotFolio\source\src\lib\compile\compile.js:4
hashCompiledArtifact	C:\Dev\Projects\JotFolio\source\src\lib\compile\hash.js:72	4	C:\Dev\Projects\JotFolio\source\src\lib\compile\compile.js:4
compositeSourceHash	C:\Dev\Projects\JotFolio\source\src\lib\compile\hash.js:83	4	C:\Dev\Projects\JotFolio\source\src\lib\compile\compile.js:4
compile	C:\Dev\Projects\JotFolio\source\src\lib\compile\index.js:5	78	C:\Dev\Projects\JotFolio\source\src\App.jsx:61
compileDeterministic	C:\Dev\Projects\JotFolio\source\src\lib\compile\index.js:19	18	C:\Dev\Projects\JotFolio\source\src\lib\compile\compile.js:5
EMPTY_MANIFEST	C:\Dev\Projects\JotFolio\source\src\lib\compile\manifest.js:27	6	C:\Dev\Projects\JotFolio\source\src\lib\compile\index.js:12
loadManifest	C:\Dev\Projects\JotFolio\source\src\lib\compile\manifest.js:39	5	C:\Dev\Projects\JotFolio\source\src\App.jsx:61
saveManifest	C:\Dev\Projects\JotFolio\source\src\lib\compile\manifest.js:65	3	C:\Dev\Projects\JotFolio\source\src\lib\compile\index.js:3
recordCompilation	C:\Dev\Projects\JotFolio\source\src\lib\compile\manifest.js:75	3	C:\Dev\Projects\JotFolio\source\src\lib\compile\index.js:3
findStale	C:\Dev\Projects\JotFolio\source\src\lib\compile\manifest.js:129	3	C:\Dev\Projects\JotFolio\source\src\lib\compile\index.js:3
isCompiledEntry	C:\Dev\Projects\JotFolio\source\src\lib\compile\manifest.js:176	3	C:\Dev\Projects\JotFolio\source\src\lib\compile\index.js:3
buildFullDemoVaultStore	C:\Dev\Projects\JotFolio\source\src\lib\demo\fullDemoVault.js:467	0
maybeSeedFullDemoVaultFromUrl	C:\Dev\Projects\JotFolio\source\src\lib\demo\fullDemoVault.js:516	2	C:\Dev\Projects\JotFolio\source\src\main.jsx:15
BUNDLE_VERSION	C:\Dev\Projects\JotFolio\source\src\lib\exports\bundle.js:10	0
